Time(s)	Temperature (C)
0.0		21.0
0.1		21.0
0.2		21.0
0.3		21.0
0.4		21.0
0.5		20.9
0.6		20.9
0.7		20.9
0.8		20.9
0.9		20.9
1.0		20.9
1.1		20.9
1.2		20.9
1.3		20.9
1.4		20.8
1.5		20.8
1.6		20.8
1.7		20.8
1.8		20.8
1.9		20.8
2.0		20.8
2.1		20.8
2.2		20.7
2.3		20.7
2.4		20.7
2.5		20.7
2.6		20.7
2.7		20.7
2.8		20.7
2.9		20.7
3.0		20.7
3.1		20.6
3.2		20.6
3.3		20.6
3.4		20.6
3.5		20.6
3.6		20.6
3.7		20.6
3.8		20.6
3.9		20.6
4.0		20.5
4.1		20.5
4.2		20.5
4.3		20.5
4.4		20.5
4.5		20.5
4.6		20.5
4.7		20.5
4.8		20.5
4.9		20.4
5.0		20.4
5.1		20.4
5.2		20.4
5.3		20.4
5.4		20.4
5.5		20.4
5.6		20.4
5.7		20.4
5.8		20.3
5.9		20.3
6.0		20.3
6.1		20.3
6.2		20.3
6.3		20.3
6.4		20.3
6.5		20.3
6.6		20.3
6.7		20.3
6.8		20.2
6.9		20.2
7.0		20.2
7.1		20.2
7.2		20.2
7.3		20.2
7.4		20.2
7.5		20.2
7.6		20.2
7.7		20.1
7.8		20.1
7.9		20.1
8.0		20.1
8.1		20.1
8.2		20.1
8.3		20.1
8.4		20.1
8.5		20.1
8.6		20.0
8.7		20.0
8.8		20.0
8.9		20.0
9.0		20.0
9.1		20.0
9.2		20.0
9.3		20.0
9.4		20.0
9.5		20.0
9.6		19.9
9.7		19.9
9.8		19.9
9.9		19.9
10.0		19.9
10.1		19.9
10.2		19.9
10.3		19.9
10.4		19.9
10.5		19.9
10.6		19.8
10.7		19.8
10.8		19.8
10.9		19.8
11.0		19.8
11.1		19.8
11.2		19.8
11.3		19.8
11.4		19.8
11.5		19.7
11.6		19.7
11.7		19.7
11.8		19.7
11.9		19.7
12.0		19.7
12.1		19.7
12.2		19.7
12.3		19.7
12.4		19.7
12.5		19.6
12.6		19.6
12.7		19.6
12.8		19.6
12.9		19.6
13.0		19.6
13.1		19.6
13.2		19.6
13.3		19.6
13.4		19.6
13.5		19.5
13.6		19.5
13.7		19.5
13.8		19.5
13.9		19.5
14.0		19.5
14.1		19.5
14.2		19.5
14.3		19.5
14.4		19.5
14.5		19.4
14.6		19.4
14.7		19.4
14.8		19.4
14.9		19.4
15.0		19.4
15.1		19.4
15.2		19.4
15.3		19.4
15.4		19.4
15.5		19.3
15.6		19.3
15.7		19.3
15.8		19.3
15.9		19.3
16.0		19.3
16.1		19.3
16.2		19.3
16.3		19.3
16.4		19.3
16.5		19.2
16.6		19.2
16.7		19.2
16.8		19.2
16.9		19.2
17.0		19.2
17.1		19.2
17.2		19.2
17.3		19.2
17.4		19.2
17.5		19.2
17.6		19.1
17.7		19.1
17.8		19.1
17.9		19.1
18.0		19.1
18.1		19.1
18.2		19.1
18.3		19.1
18.4		19.1
18.5		19.1
18.6		19.0
18.7		19.0
18.8		19.0
18.9		19.0
19.0		19.0
19.1		19.0
19.2		19.0
19.3		19.0
19.4		19.0
19.5		19.0
19.6		19.0
19.7		18.9
19.8		18.9
19.9		18.9
20.0		18.9
20.1		18.9
20.2		18.9
20.3		18.9
20.4		18.9
20.5		18.9
20.6		18.9
20.7		18.9
20.8		18.8
20.9		18.8
21.0		18.8
21.1		18.8
21.2		18.8
21.3		18.8
21.4		18.8
21.5		18.8
21.6		18.8
21.7		18.8
21.8		18.7
21.9		18.7
22.0		18.7
22.1		18.7
22.2		18.7
22.3		18.7
22.4		18.7
22.5		18.7
22.6		18.7
22.7		18.7
22.8		18.7
22.9		18.6
23.0		18.6
23.1		18.6
23.2		18.6
23.3		18.6
23.4		18.6
23.5		18.6
23.6		18.6
23.7		18.6
23.8		18.6
23.9		18.6
24.0		18.5
24.1		18.5
24.2		18.5
24.3		18.5
24.4		18.5
24.5		18.5
24.6		18.5
24.7		18.5
24.8		18.5
24.9		18.5
25.0		18.5
25.1		18.5
25.2		18.4
25.3		18.4
25.4		18.4
25.5		18.4
25.6		18.4
25.7		18.4
25.8		18.4
25.9		18.4
26.0		18.4
26.1		18.4
26.2		18.4
26.3		18.3
26.4		18.3
26.5		18.3
26.6		18.3
26.7		18.3
26.8		18.3
26.9		18.3
27.0		18.3
27.1		18.3
27.2		18.3
27.3		18.3
27.4		18.2
27.5		18.2
27.6		18.2
27.7		18.2
27.8		18.2
27.9		18.2
28.0		18.2
28.1		18.2
28.2		18.2
28.3		18.2
28.4		18.2
28.5		18.2
28.6		18.1
28.7		18.1
28.8		18.1
28.9		18.1
29.0		18.1
29.1		18.1
29.2		18.1
29.3		18.1
29.4		18.1
29.5		18.1
29.6		18.1
29.7		18.1
29.8		18.0
29.9		18.0
30.0		18.0
30.1		18.0
30.2		18.0
30.3		18.0
30.4		18.0
30.5		18.0
30.6		18.0
30.7		18.0
30.8		18.0
30.9		18.0
31.0		17.9
31.1		17.9
31.2		17.9
31.3		17.9
31.4		17.9
31.5		17.9
31.6		17.9
31.7		17.9
31.8		17.9
31.9		17.9
32.0		17.9
32.1		17.9
32.2		17.8
32.3		17.8
32.4		17.8
32.5		17.8
32.6		17.8
32.7		17.8
32.8		17.8
32.9		17.8
33.0		17.8
33.1		17.8
33.2		17.8
33.3		17.8
33.4		17.7
33.5		17.7
33.6		17.7
33.7		17.7
33.8		17.7
33.9		17.7
34.0		17.7
34.1		17.7
34.2		17.7
34.3		17.7
34.4		17.7
34.5		17.7
34.6		17.6
34.7		17.6
34.8		17.6
34.9		17.6
35.0		17.6
35.1		17.6
35.2		17.6
35.3		17.6
35.4		17.6
35.5		17.6
35.6		17.6
35.7		17.6
35.8		17.6
35.9		17.5
36.0		17.5
36.1		17.5
36.2		17.5
36.3		17.5
36.4		17.5
36.5		17.5
36.6		17.5
36.7		17.5
36.8		17.5
36.9		17.5
37.0		17.5
37.1		17.4
37.2		17.4
37.3		17.4
37.4		17.4
37.5		17.4
37.6		17.4
37.7		17.4
37.8		17.4
37.9		17.4
38.0		17.4
38.1		17.4
38.2		17.4
38.3		17.4
38.4		17.3
38.5		17.3
38.6		17.3
38.7		17.3
38.8		17.3
38.9		17.3
39.0		17.3
39.1		17.3
39.2		17.3
39.3		17.3
39.4		17.3
39.5		17.3
39.6		17.3
39.7		17.2
39.8		17.2
39.9		17.2
40.0		17.2
40.1		17.2
40.2		17.2
40.3		17.2
40.4		17.2
40.5		17.2
40.6		17.2
40.7		17.2
40.8		17.2
40.9		17.2
41.0		17.2
41.1		17.1
41.2		17.1
41.3		17.1
41.4		17.1
41.5		17.1
41.6		17.1
41.7		17.1
41.8		17.1
41.9		17.1
42.0		17.1
42.1		17.1
42.2		17.1
42.3		17.1
